Ref,Val,Package,PosX,PosY,Rot,Side
"SP0","Simulation_Port","pad_0.2mm",1.690000,13.600000,180.000000,top
"SP1","Simulation_Port","pad_0.2mm",0.300000,0.300000,0.000000,top
